"metric"	"category"	"Comparison"	"Test"	"P"	"sig_P"	"BH_P"	"sig_BH_P"	"CompKey"
"shannon"	"between"	"R.D vs F.D"	"Wilcoxon"	0.0357	"*"	"0.06764"	" "	"Rice bran distal colon vs Fermented rice bran distal colon"
"shannon"	"between"	"R.E vs C.E"	"Wilcoxon"	0.00146	"**"	"0.00479"	"**"	"Rice bran cecum vs Control cecum"
"shannon"	"between"	"R.E vs F.E"	"Wilcoxon"	0.77548	" "	"0.84244"	" "	"Rice bran cecum vs Fermented rice bran cecum"
"shannon"	"between"	"R.P vs C.P"	"Wilcoxon"	8e-05	"****"	"0.00046"	"***"	"Rice bran proximal colon vs Control proximal colon"
"shannon"	"between"	"R.P vs F.P"	"Wilcoxon"	0.37934	" "	"0.48772"	" "	"Rice bran proximal colon vs Fermented rice bran proximal colon"
"shannon"	"within"	"C.E vs C.D"	"Wilcoxon"	0.03364	"*"	"0.06764"	" "	"Control cecum vs Control distal colon"
"shannon"	"within"	"C.P vs C.D"	"Wilcoxon"	0.47261	" "	"0.54884"	" "	"Control proximal colon vs Control distal colon"
"shannon"	"within"	"C.P vs C.E"	"Wilcoxon"	0.44255	" "	"0.53106"	" "	"Control proximal colon vs Control cecum"
"shannon"	"within"	"F.E vs F.D"	"Wilcoxon"	0.00104	"**"	"0.00376"	"**"	"Fermented rice bran cecum vs Fermented rice bran distal colon"
"shannon"	"within"	"F.P vs F.D"	"Wilcoxon"	0.0595	" "	"0.102"	" "	"Fermented rice bran proximal colon vs Fermented rice bran distal colon"
"shannon"	"within"	"F.P vs F.E"	"Wilcoxon"	0.1038	" "	"0.16985"	" "	"Fermented rice bran proximal colon vs Fermented rice bran cecum"
"shannon"	"within"	"R.E vs R.D"	"Wilcoxon"	0.83928	" "	"0.86326"	" "	"Rice bran cecum vs Rice bran distal colon"
"shannon"	"within"	"R.P vs R.D"	"Wilcoxon"	0.19712	" "	"0.29567"	" "	"Rice bran proximal colon vs Rice bran distal colon"
"shannon"	"within"	"R.P vs R.E"	"Wilcoxon"	0.0033	"**"	"0.0099"	"**"	"Rice bran proximal colon vs Rice bran cecum"
