SampleID	NumberID	Cohort	CohortLab	DietGroup	DietGroupLab	Type	TypeLab	Diet.Type	Sex	SexLab	Diet.Sex	Mouse	Project	MTB_Metabolon_source_file_name	MTB_SAMPLENAME	MTB_CLIENTIDENTIFIER	MTB_PARENTSAMPLEID	MTB_SAMPLENUMBER	MTB_GROUP	MTB_GROUPNUMBER	MTB_GROUPNAME2	MTB_TREATMENT	MTB_COLLECTIONSITE	MTB_COLONLOCATION	MTB_COMMENT	MTB_DIET	MTB_GENDER	MTB_INOCULUM	MTB_NORMALIZATION	MTB_NORMALIZE	MTB_VOLUMEEXTRACTEDUL	MTB_MASSEXTRACTED	MTB_RUNDAY	MTB_SAMPLEAMOUNT	MTB_SAMPLINGSITE	MTB_SUBJECTORANIMALID	MTB_TIMEPOINT	MTB_TXXDIET
CFRB2_Meta_CO_D	11	healthy	H	Fermented_rice_bran	F	colon_Distal	D	F.D	unknown	u	u	CFRB2	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01031	CFRB2 Meta CO_D	4652111	12	Cancer free Fermented Rice Bran diet	6	not_applicable	NONE	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	2	CFRB2	END OF STUDY	NONE_F_RiceBran
CC_4	12	healthy	H	Control	C	Blood_plasma	B	C.B	unknown	u	u	CC 4	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0108-17VWBL+ Client Data Tables and Stats Plasma 12-28-17.xlsx	COSU-01195	CC 4	4703739	1	CC Cancerfree mice Control Diet	1	None_Control	NA	not_applicable	not_applicable	K2 EDTA Whole Blood	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	greater than 2 mL	not_applicable	CC 4	end of study	not_applicable
CC_5	13	healthy	H	Control	C	Blood_plasma	B	C.B	unknown	u	u	CC 5	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0108-17VWBL+ Client Data Tables and Stats Plasma 12-28-17.xlsx	COSU-01196	CC 5	4703740	2	CC Cancerfree mice Control Diet	1	None_Control	NA	not_applicable	not_applicable	K2 EDTA Whole Blood	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	greater than 2 mL	not_applicable	CC 5	end of study	not_applicable
CRB_4	14	healthy	H	Rice_bran	R	Blood_plasma	B	R.B	unknown	u	u	CRB 4	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0108-17VWBL+ Client Data Tables and Stats Plasma 12-28-17.xlsx	COSU-01197	CRB 4	4703741	3	CRB Cancerfree mice Rice bran Diet	2	None_RiceBran	NA	not_applicable	not_applicable	K2 EDTA Whole Blood	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	greater than 2 mL	not_applicable	CRB 4	end of study	not_applicable
CR_5	15	healthy	H	Rice_bran	R	Blood_plasma	B	R.B	unknown	u	u	CRB 5	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0108-17VWBL+ Client Data Tables and Stats Plasma 12-28-17.xlsx	COSU-01198	CRB 5	4703742	4	CRB Cancerfree mice Rice bran Diet	2	None_RiceBran	NA	not_applicable	not_applicable	K2 EDTA Whole Blood	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	greater than 2 mL	not_applicable	CRB 5	end of study	not_applicable
CFRB_3	16	healthy	H	Fermented_rice_bran	F	Blood_plasma	B	F.B	unknown	u	u	CFRB 3	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0108-17VWBL+ Client Data Tables and Stats Plasma 12-28-17.xlsx	COSU-01199	CFRB 3	4703743	5	CFRB Cancer Fermented Rice bran diet	3	None_F_RiceBran	NA	not_applicable	not_applicable	K2 EDTA Whole Blood	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	greater than 2 mL	not_applicable	CFRB 3	end of study	not_applicable
CFRB_4	17	healthy	H	Fermented_rice_bran	F	Blood_plasma	B	F.B	unknown	u	u	CFRB 4	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0108-17VWBL+ Client Data Tables and Stats Plasma 12-28-17.xlsx	COSU-01200	CFRB 4	4703744	6	CFRB Cancer Fermented Rice bran diet	3	None_F_RiceBran	NA	not_applicable	not_applicable	K2 EDTA Whole Blood	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	greater than 2 mL	not_applicable	CFRB 4	end of study	not_applicable
AOMC4_Meta_CO_P	18	AOM_DSS	A	Control	C	colon_Proximal	P	C.P	Male	M	C.M	AOMC4	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01032	AOMC4 Meta CO_P	4652112	13	Cancer (AOM) Control diet	7	not_applicable	AOM_DSS	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	1	greater than 200mgs	1	AOMC4	END OF STUDY	DSS_Control
AOMC5_Meta_CO_P	19	AOM_DSS	A	Control	C	colon_Proximal	P	C.P	Male	M	C.M	AOMC5	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01033	AOMC5 Meta CO_P	4652113	14	Cancer (AOM) Control diet	7	not_applicable	AOM_DSS	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	1	AOMC5	END OF STUDY	DSS_Control
AOMC6_Meta_CO_P	20	AOM_DSS	A	Control	C	colon_Proximal	P	C.P	Male	M	C.M	AOMC6	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01034	AOMC6 Meta CO_P	4652114	15	Cancer (AOM) Control diet	7	not_applicable	AOM_DSS	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	1	greater than 200mgs	1	AOMC6	END OF STUDY	DSS_Control
AOMC7_Meta_CO_P	21	AOM_DSS	A	Control	C	colon_Proximal	P	C.P	Male	M	C.M	AOMC7	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01035	AOMC7 Meta CO_P	4652115	16	Cancer (AOM) Control diet	7	not_applicable	AOM_DSS	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	1	AOMC7	END OF STUDY	DSS_Control
AOMC8_Meta_CO_P	22	AOM_DSS	A	Control	C	colon_Proximal	P	C.P	Male	M	C.M	AOMC8	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01036	AOMC8 Meta CO_P	4652116	17	Cancer (AOM) Control diet	7	not_applicable	AOM_DSS	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	1	greater than 200mgs	1	AOMC8	END OF STUDY	DSS_Control
AOMC9_Meta_CO_P	23	AOM_DSS	A	Control	C	colon_Proximal	P	C.P	Male	M	C.M	AOMC9	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01037	AOMC9 Meta CO_P	4652117	18	Cancer (AOM) Control diet	7	not_applicable	AOM_DSS	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	1	AOMC9	END OF STUDY	DSS_Control
AOMC10_Meta_CO_P	24	AOM_DSS	A	Control	C	colon_Proximal	P	C.P	Male	M	C.M	AOMC10	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01038	AOMC10 Meta CO_P	4652118	19	Cancer (AOM) Control diet	7	not_applicable	AOM_DSS	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	1	greater than 200mgs	1	AOMC10	END OF STUDY	DSS_Control
AOMC11_Meta_CO_P	25	AOM_DSS	A	Control	C	colon_Proximal	P	C.P	Male	M	C.M	AOMC11	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01039	AOMC11 Meta CO_P	4652119	20	Cancer (AOM) Control diet	7	not_applicable	AOM_DSS	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	1	AOMC11	END OF STUDY	DSS_Control
AOMC12_Meta_CO_P	26	AOM_DSS	A	Control	C	colon_Proximal	P	C.P	Male	M	C.M	AOMC12	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01040	AOMC12 Meta CO_P	4652120	21	Cancer (AOM) Control diet	7	not_applicable	AOM_DSS	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	1	greater than 200mgs	1	AOMC12	END OF STUDY	DSS_Control
AOMC13_Meta_CO_P	27	AOM_DSS	A	Control	C	colon_Proximal	P	C.P	Male	M	C.M	AOMC13	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01041	AOMC13 Meta CO_P	4652121	22	Cancer (AOM) Control diet	7	not_applicable	AOM_DSS	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	1	AOMC13	END OF STUDY	DSS_Control
AOMRB6_Meta_CO_P	28	AOM_DSS	A	Rice_bran	R	colon_Proximal	P	R.P	Male	M	R.M	AOMRB6	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01052	AOMRB6 Meta CO_P	4652132	33	Cancer (AOM) Rice Bran diet	9	not_applicable	AOM_DSS	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	1	greater than 200mgs	1	AOMRB6	END OF STUDY	DSS_RiceBran
AOMRB7_Meta_CO_P	29	AOM_DSS	A	Rice_bran	R	colon_Proximal	P	R.P	Male	M	R.M	AOMRB7 	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01053	AOMRB7 Meta CO_P	4652133	34	Cancer (AOM) Rice Bran diet	9	not_applicable	AOM_DSS	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	1	AOMRB7 	END OF STUDY	DSS_RiceBran
AOMRB8_Meta_CO_P	30	AOM_DSS	A	Rice_bran	R	colon_Proximal	P	R.P	Male	M	R.M	AOMRB8 	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01054	AOMRB8 Meta CO_P	4652134	35	Cancer (AOM) Rice Bran diet	9	not_applicable	AOM_DSS	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	1	greater than 200mgs	1	AOMRB8 	END OF STUDY	DSS_RiceBran
AOMRB9_Meta_CO_P	31	AOM_DSS	A	Rice_bran	R	colon_Proximal	P	R.P	Male	M	R.M	AOMRB9	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01055	AOMRB9 Meta CO_P	4652135	36	Cancer (AOM) Rice Bran diet	9	not_applicable	AOM_DSS	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	1	AOMRB9	END OF STUDY	DSS_RiceBran
AOMRB10_Meta_CO_P	32	AOM_DSS	A	Rice_bran	R	colon_Proximal	P	R.P	Male	M	R.M	AOMRB10 	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01056	AOMRB10 Meta CO_P	4652136	37	Cancer (AOM) Rice Bran diet	9	not_applicable	AOM_DSS	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	1	greater than 200mgs	1	AOMRB10 	END OF STUDY	DSS_RiceBran
AOMRB11_Meta_CO_P	33	AOM_DSS	A	Rice_bran	R	colon_Proximal	P	R.P	Male	M	R.M	AOMRB11	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01057	AOMRB11 Meta CO_P	4652137	38	Cancer (AOM) Rice Bran diet	9	not_applicable	AOM_DSS	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	1	AOMRB11	END OF STUDY	DSS_RiceBran
AOMRB12_Meta_CO_P	34	AOM_DSS	A	Rice_bran	R	colon_Proximal	P	R.P	Male	M	R.M	AOMRB12	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01058	AOMRB12 Meta CO_P	4652138	39	Cancer (AOM) Rice Bran diet	9	not_applicable	AOM_DSS	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	1	greater than 200mgs	1	AOMRB12	END OF STUDY	DSS_RiceBran
AOMRB13_Meta_CO_P	35	AOM_DSS	A	Rice_bran	R	colon_Proximal	P	R.P	Male	M	R.M	AOMRB13 	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01059	AOMRB13 Meta CO_P	4652139	40	Cancer (AOM) Rice Bran diet	9	not_applicable	AOM_DSS	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	1	AOMRB13 	END OF STUDY	DSS_RiceBran
AOMRB14_Meta_CO_P	36	AOM_DSS	A	Rice_bran	R	colon_Proximal	P	R.P	Male	M	R.M	AOMRB14	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01060	AOMRB14 Meta CO_P	4652140	41	Cancer (AOM) Rice Bran diet	9	not_applicable	AOM_DSS	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	1	greater than 200mgs	1	AOMRB14	END OF STUDY	DSS_RiceBran
AOMRB15_Meta_CO_P	37	AOM_DSS	A	Rice_bran	R	colon_Proximal	P	R.P	Male	M	R.M	AOMRB15	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01061	AOMRB15 Meta CO_P	4652141	42	Cancer (AOM) Rice Bran diet	9	not_applicable	AOM_DSS	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	1	AOMRB15	END OF STUDY	DSS_RiceBran
AOMFRB2_Meta_CO_P	38	AOM_DSS	A	Fermented_rice_bran	F	colon_Proximal	P	F.P	Male	M	F.M	AOMFRB2	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01072	AOMFRB2 Meta CO_P	4652152	53	Cancer (AOM) Fermented Rice Bran diet	11	not_applicable	AOM_DSS	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	1	greater than 200mgs	1	AOMFRB2	END OF STUDY	DSS_F_RiceBran
AOMFRB3_Meta_CO_P	39	AOM_DSS	A	Fermented_rice_bran	F	colon_Proximal	P	F.P	Male	M	F.M	AOMFRB3	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01073	AOMFRB3 Meta CO_P	4652153	54	Cancer (AOM) Fermented Rice Bran diet	11	not_applicable	AOM_DSS	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	1	AOMFRB3	END OF STUDY	DSS_F_RiceBran
AOMFRB4_Meta_CO_P	40	AOM_DSS	A	Fermented_rice_bran	F	colon_Proximal	P	F.P	Male	M	F.M	AOMFRB4	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01074	AOMFRB4 Meta CO_P	4652154	55	Cancer (AOM) Fermented Rice Bran diet	11	not_applicable	AOM_DSS	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	1	greater than 200mgs	1	AOMFRB4	END OF STUDY	DSS_F_RiceBran
AOMFRB5_Meta_CO_P	41	AOM_DSS	A	Fermented_rice_bran	F	colon_Proximal	P	F.P	Male	M	F.M	AOMFRB5	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01075	AOMFRB5 Meta CO_P	4652155	56	Cancer (AOM) Fermented Rice Bran diet	11	not_applicable	AOM_DSS	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	1	AOMFRB5	END OF STUDY	DSS_F_RiceBran
AOMFRB6_Meta_CO_P	42	AOM_DSS	A	Fermented_rice_bran	F	colon_Proximal	P	F.P	Male	M	F.M	AOMFRB6	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01076	AOMFRB6 Meta CO_P	4652156	57	Cancer (AOM) Fermented Rice Bran diet	11	not_applicable	AOM_DSS	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	1	greater than 200mgs	1	AOMFRB6	END OF STUDY	DSS_F_RiceBran
AOMFRB7_Meta_CO_P	43	AOM_DSS	A	Fermented_rice_bran	F	colon_Proximal	P	F.P	Male	M	F.M	AOMFRB7	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01077	AOMFRB7 Meta CO_P	4652157	58	Cancer (AOM) Fermented Rice Bran diet	11	not_applicable	AOM_DSS	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	1	AOMFRB7	END OF STUDY	DSS_F_RiceBran
AOMFRB8_Meta_CO_P	44	AOM_DSS	A	Fermented_rice_bran	F	colon_Proximal	P	F.P	Male	M	F.M	AOMFRB8 	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01078	AOMFRB8 Meta CO_P	4652158	59	Cancer (AOM) Fermented Rice Bran diet	11	not_applicable	AOM_DSS	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	1	greater than 200mgs	1	AOMFRB8 	END OF STUDY	DSS_F_RiceBran
AOMFRB9_Meta_CO_P	45	AOM_DSS	A	Fermented_rice_bran	F	colon_Proximal	P	F.P	Male	M	F.M	AOMFRB9 	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01079	AOMFRB9 Meta CO_P	4652159	60	Cancer (AOM) Fermented Rice Bran diet	11	not_applicable	AOM_DSS	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	1	AOMFRB9 	END OF STUDY	DSS_F_RiceBran
AOMFRB10_Meta_CO_P	46	AOM_DSS	A	Fermented_rice_bran	F	colon_Proximal	P	F.P	Male	M	F.M	AOMFRB10	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01080	AOMFRB10 Meta CO_P	4652160	61	Cancer (AOM) Fermented Rice Bran diet	11	not_applicable	AOM_DSS	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	1	greater than 200mgs	1	AOMFRB10	END OF STUDY	DSS_F_RiceBran
